name,class,connector,SPAN,CORPUS,TUBE_OFFSET,TAPER_OFFSET,TUBE_ROTATION,LOAD,CHORD_1,NACA_Profile,SERVO_THICKNESS,FLAP_BIAS,CHORD_2,AILERON_BIAS,THICKNESS,TUBE_DIAMETER,CONTROL_CHANNEL,SERVO_WIDTH,SERVO_LENGTH
Wing_horiz_hole,Wing,"['Wing_Servo_Connector', 'Wing_Tube_Connector']","('1000', '1', None, '1000')",UAV,"('100', '1', None, '1000')","('0', '0', '1', '0')","('0', '0', '360', '0')","('15', '1', None, '15')","('250', '1', None, '100')","('0012', None, None, None)","('0.1', '0.1', '0.1', '0.1')","('0.5', '0', '1', '0.5')","('250', '1', None, '100')","('0.5', '-1', '1', '0.5')","('12', '6', '25', '12')","('10', '1', None, '1000')","('-1', None, None, None)","('0.1', '0.1', '0.1', '0.1')","('0.1', '0.1', '0.1', '0.1')"
Wing_vert_hole,Wing,"['Wing_Servo_Connector', 'Wing_Tube_Connector']","('1000', '1', None, '1000')",UAV,"('100', '1', None, '1000')","('0', '0', '1', '0')","('0', '0', '360', '0')","('15', '1', None, '15')","('250', '1', None, '100')","('0012', None, None, None)","('0.1', '0.1', '0.1', '0.1')","('0.5', '0', '1', '0.5')","('250', '1', None, '100')","('0.5', '-1', '1', '0.5')","('12', '6', '25', '12')","('10', '1', None, '1000')","('-1', None, None, None)","('0.1', '0.1', '0.1', '0.1')","('0.1', '0.1', '0.1', '0.1')"
