name,class,connector,PORT_THICKNESS,TAIL_DIAMETER,PORT_CHORD,LENGTH,PORT_OFFSET,SEAT_2_FB,LEFT_PORT_DISP,CORPUS,RIGHT_PORT_DISP,CHORD,SEAT_1_FB,TOP_PORT_DISP,FLOOR_HEIGHT,SEAT_1_LR,BOTTOM_PORT_DISP,SPHERE_DIAMETER,SEAT_2_LR,MIDDLE_LENGTH,THICKNESS,WALL_THICKNESS
FUSE_SPHERE_CYL_CONE,UAM_Fuselage,"['BOTTOM_CONNECTOR', 'LEFT_CONNECTOR', 'ORIENT', 'REAR_CONNECTOR', 'RIGHT_CONNECTOR', 'SEAT_1_CONNECTOR', 'SEAT_2_CONNECTOR', 'TOP_CONNECTOR']","('100', '1', None, '100')","('200', '1', None, '100')",None,"('2000', '1', None, '100')",None,"('1000', '1', None, '100')","('0', '1', None, '100')",UAM,"('0', '1', None, '100')",None,"('1000', '1', None, '100')","('0', '1', None, '100')","('150', '1', None, '100')","('-200', '1', None, '100')","('0', '1', None, '100')","('1520', '1', None, '100')","('200', '1', None, '100')","('750', '1', None, '100')",None,3
NACA_Fuse,UAM_Fuselage,"['BOTTOM_CONNECTOR', 'LEFT_CONNECTOR', 'ORIENT', 'REAR_CONNECTOR', 'RIGHT_CONNECTOR', 'SEAT_1_CONNECTOR', 'SEAT_2_CONNECTOR', 'TOP_CONNECTOR']","('100', '1', None, '100')",None,"('1000', '1', None, '100')","('2000', '1', None, '100')","('4000', '1', None, '100')","('1000', '1', None, '100')","('0', '1', None, '100')",UAM,"('0', '1', None, '100')","('6000', '1', None, '100')","('1000', '1', None, '100')","('0', '1', None, '100')","('150', '1', None, '100')","('-200', '1', None, '100')","('0', '1', None, '100')",None,"('200', '1', None, '100')",None,"('24', '1', None, '100')",None
