2017, 'SOUTHERN OREGON COASTAL'
2017, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2017, 'ASHO3', 'ASHLAND', '   4.98', '   2.03', '   3.47', '   4.16', '   4.50', '   1.86', '   1.65', '   1.11', '   1.14', '   0.00', '   0.00', '   0.44', ' 25.34', ' 127', ' 127'
2017, 'CVJO3', 'CAVE JUNCTION', '  20.01', '   4.88', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2017, 'GPSO3', 'GRANTS PASS KAJO', '  12.59', '   3.97', '   7.26', '   9.02', '   9.04', '   4.96', '   3.18', '   0.59', '   0.74', '   0.00', '   0.03', '   0.40', ' 51.78', ' 167', ' 167'
2017, 'GSPO3', 'GREEN SPRINGS PP', '   6.59', '   2.20', '   6.14', '   5.79', '   6.28', '   3.18', '   1.56', '   1.28', '   0.87', '   0.00', '   0.01', '   0.37', ' 34.27', ' 145', ' 145'
2017, 'LEMO3', 'LEMOLO LAKE', '  13.95', '   7.59', '  14.05', '   9.55', '  11.89', '  15.67', '   8.29', '   3.28', '   2.24', '   0.00', '   0.37', '   4.23', ' 91.11', ' 138', ' 138'
2017, 'MFR', 'MEDFORD', '   5.49', '   1.64', '   4.56', '   4.89', '   4.12', '   2.04', '   0.95', '   0.58', '   0.50', '   0.00', '   0.14', '   0.30', ' 25.21', ' 137', ' 137'
2017, 'OTH', 'NORTH BEND', '  13.98', '  13.27', '   6.90', '   8.88', '  14.77', '  10.14', '   6.41', '   4.62', '   2.18', '   0.05', '   0.14', '   1.16', ' 82.50', ' 127', ' 127'
2017, 'PRSO3', 'PROSPECT 2SW', '  10.88', '   5.65', 'M', '   7.08', '   7.61', '   6.81', '   4.64', '   2.56', '   0.97', '   0.02', '   0.93', '   1.85', 'M'
2017, 'RIDO3', 'RIDDLE', '   9.53', '   3.66', '   6.99', '   7.76', '   8.11', '   3.93', '   2.60', '   0.86', '   0.63', '   0.00', '   0.00', '   1.13', ' 45.20', ' 145', ' 145'
2017, 'ROGO3', 'ROSEBURG', '   9.35', '   3.66', '   5.72', '   5.95', '   9.44', 'M', '   3.12', '   1.42', '   0.43', '   0.00', '   0.00', '   0.80', 'M'
2017, 'SXT', 'SEXTON SUMMIT', '  14.30', '   4.78', '   1.35', '  12.81', '   2.60', '   2.66', '   3.03', '   0.53', 'M', '   0.00', '   0.00', 'M', 'M'
2017, 'TKFO3', 'TOKETEE FALLS', '  11.77', '   5.25', '   9.89', '   6.12', '  10.15', '   8.41', '   6.20', '   2.45', '   1.30', '   0.00', '   0.01', '   2.64', ' 64.19', ' 133', ' 133'
