2015, 'SOUTHERN OREGON COASTAL'
2015, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2015, 'ASHO3', 'ASHLAND', '   2.18', 'M', '   3.54', '   1.27', '   6.02', '   1.61', '   1.39', '   0.91', '   0.45', '   2.03', '   0.05', '   0.10', 'M'
2015, 'CVJO3', 'CAVE JUNCTION', '   5.36', '   4.73', '   9.27', '   3.25', '  11.00', '   4.00', '   1.59', '   0.88', '   0.19', '   0.42', '   0.25', '   0.69', ' 41.63', '  66', '  66'
2015, 'GOLO3', 'GOLD BEACH', '  10.05', '   7.48', '  15.51', '   4.05', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2015, 'GPSO3', 'GRANTS PASS KAJO', 'M', '   2.35', '   5.09', '   2.03', '   5.82', '   2.57', '   0.68', '   0.49', '   0.14', '   0.78', '   0.10', '   0.20', 'M'
2015, 'GSPO3', 'GREEN SPRINGS PP', '   2.60', '   1.38', '   4.95', '   1.16', '   7.27', '   1.25', '   0.95', '   1.48', '   0.29', '   1.47', '   0.13', '   0.04', ' 22.97', '  97', '  97'
2015, 'LEMO3', 'LEMOLO LAKE', '   7.72', '  12.97', '  14.40', '   3.76', '   6.32', '   6.12', '   3.20', '   3.39', '   0.89', '   1.13', '   0.63', '   1.63', ' 62.16', '  94', '  94'
2015, 'MFR', 'MEDFORD', '   2.59', '   1.95', '   2.31', '   1.25', '   3.20', '   1.45', '   0.60', '   0.33', '   0.31', '   0.29', '   0.04', '   0.25', ' 14.57', '  79', '  79'
2015, 'OTH', 'NORTH BEND', '   5.96', '   4.60', '  12.74', '   1.89', '   8.32', '   5.35', '   3.08', '   0.31', '   0.29', '   0.00', 'M', 'M', 'M'
2015, 'PRSO3', 'PROSPECT 2SW', '   5.16', '   5.90', '   8.94', '   2.06', '   4.53', '   3.58', '   1.91', '   1.82', '   0.45', '   0.96', '   0.33', '   0.38', ' 36.02', '  86', '  86'
2015, 'RIDO3', 'RIDDLE', '   4.18', '   4.98', '   6.00', '   1.76', '   6.83', '   2.11', '   1.21', '   0.80', '   0.71', '   0.11', '   0.18', '   0.19', ' 29.06', '  93', '  93'
2015, 'ROGO3', 'ROSEBURG', 'M', '   4.49', '   5.26', '   0.82', '   4.77', '   2.71', '   1.52', '   0.11', '   0.12', '   0.00', '   0.19', '   0.53', 'M'
2015, 'SXT', 'SEXTON SUMMIT', '   5.65', '   1.71', '   7.04', '   3.04', '   8.98', '   3.49', '   1.22', '   1.43', '   0.06', '   0.19', '   0.31', '   0.34', ' 33.46', '  95', '  95'
